comments,filtered_tokens
"time to inject some life into this sub <3

**Grew up with Nintendo**
We had a Nintendo 64. I remember how my family would sit around the TV and just watch my mom play Super Mario 64. Then came Ocarina of Time, along with so many awesome memories. I would be the one playing, my sisters would watch and read the walkthrough to guide me along(curse you water temple). It was a bonding thing, where watching people play was just as immersive as playing the game. 

And here I am now, with a Switch and Breath of the Wild :'D

**Console? Computer?**
I'd say its a mish mash. In the end, it all depends on money. Some of us aren't able to get all the consoles in existence, so pc is generally the main platform of choice since it's generally used for more than just games. Besides, in this day and age, a computer is pretty much almost necessary. Consoles however, are not.

**North, South, East, West**
I would say all of the above. If it's a good game, I'll take it. As with all my buds as well. We all appreciate great games, be it Monster Hunter coming from Japan or the GTA series coming from the states, if it's awesome, we're happy.

**Arcades, rental, non-at-home-gaming**
Arcades are still around, I don't frequent them. Never have since young, so once again, it's a preference thing. But the fact that they're still around shows that they're doing alright.

As for rentals, to the extent that I'm aware of, I don't think there are game rentals? I may be wrong tho.. I think the only type of rentals we do are when we borrow games from friends :/

**Censorship and ratings**
Censorship here is pretty much standard stuff I guess. The Media Development Authority handles it, I haven't really been bothered by the censorship so far so... Can't really comment on it. 

As for my own ratings, come to think of it, I don't have any rating system :x It's pretty much just ""wow, nice game, fun game, will play"", and then I just play and enjoy it. If it doesn't get on my radar or just doesn't really interest me, I'd just ignore it. Sure, I'll know that it exists, but I won't go out of my way to find out more.


**tl;dr**
grew up with a nintendo 64.
I think SG's main platform is PC.
If game good, regardless of north south east west, will play.
Arcades still alive. Rentals? No idea.
MDA does censors, meh. 
Ratings: If fun/interested, play/find out more. ","['time', 'inject', 'life', 'sub', '3', 'grew', 'nintendo', 'nintendo', '64', 'remember', 'family', 'would', 'sit', 'around', 'tv', 'watch', 'mom', 'play', 'super', 'mario', '64', 'came', 'ocarina', 'time', 'along', 'many', 'awesome', 'memories', 'would', 'one', 'playing', 'sisters', 'would', 'watch', 'read', 'walkthrough', 'guide', 'along', 'curse', 'water', 'temple', 'bonding', 'thing', 'watching', 'people', 'play', 'immersive', 'playing', 'game', 'switch', 'breath', 'wild', 'console', 'computer', 'say', 'mish', 'mash', 'end', 'depends', 'money', 'us', 'able', 'get', 'consoles', 'existence', 'pc', 'generally', 'main', 'platform', 'choice', 'since', 'generally', 'used', 'games', 'besides', 'day', 'age', 'computer', 'pretty', 'much', 'almost', 'necessary', 'consoles', 'however', 'north', 'south', 'east', 'west', 'would', 'say', 'good', 'game', 'take', 'buds', 'well', 'appreciate', 'great', 'games', 'monster', 'hunter', 'coming', 'japan', 'gta', 'series', 'coming', 'states', 'awesome', 'happy', 'arcades', 'rental', 'arcades', 'still', 'around', 'frequent', 'never', 'since', 'young', 'preference', 'thing', 'fact', 'still', 'around', 'shows', 'alright', 'rentals', 'extent', 'aware', 'think', 'game', 'rentals', 'may', 'wrong', 'tho', 'think', 'type', 'rentals', 'borrow', 'games', 'friends', 'censorship', 'ratings', 'censorship', 'pretty', 'much', 'standard', 'stuff', 'guess', 'media', 'development', 'authority', 'handles', 'really', 'bothered', 'censorship', 'far', 'ca', 'really', 'comment', 'ratings', 'come', 'think', 'rating', 'system', 'x', 'pretty', 'much', 'wow', 'nice', 'game', 'fun', 'game', 'play', 'play', 'enjoy', 'get', 'radar', 'really', 'interest', 'ignore', 'sure', 'know', 'exists', 'wo', 'go', 'way', 'find', 'tl', 'dr', 'grew', 'nintendo', '64', 'think', 'sg', 'main', 'platform', 'pc', 'game', 'good', 'regardless', 'north', 'south', 'east', 'west', 'play', 'arcades', 'still', 'alive', 'rentals', 'idea', 'mda', 'censors', 'meh', 'ratings']"
Arcades are dying imo though. Alot of arcades in shopping malls are shutting down. ,"['arcades', 'dying', 'imo', 'though', 'alot', 'arcades', 'shopping', 'malls', 'shutting']"
What about SCOGA?,['scoga']
I'm very interested! Do you mind if we chat further in details? @OP,"['interested', 'mind', 'chat', 'details', 'op']"
We're looking at setting up league that plays regular over the course of a few months. Right now most tournty are held on knock-out competition format.,"['looking', 'setting', 'league', 'plays', 'regular', 'course', 'months', 'right', 'tournty', 'held', 'competition', 'format']"
Hi! I wouldn't mind helping out with alpha testing!,"['hi', 'would', 'mind', 'helping', 'alpha', 'testing']"
I wouldn't mind helping :)!,"['would', 'mind', 'helping']"
Great - lemme send you a PM.,"['great', 'lem', 'send', 'pm']"
"what's good, guys? not sure if i'm doing the right thing on this sub but i've got lots of pc games to sell. hit me up if you want one. ","['good', 'guys', 'sure', 'right', 'thing', 'sub', 'got', 'lots', 'pc', 'games', 'sell', 'hit', 'want', 'one']"
"Plot twist: This is an angry mom/gf revenge scheme!!!

But really though, neat games, hope you sell 'em off soon!","['plot', 'twist', 'angry', 'revenge', 'scheme', 'really', 'though', 'neat', 'games', 'hope', 'sell', 'soon']"
"But since you already used it, we cant use it.

Unless you're saying they're all brand new ?","['since', 'already', 'used', 'cant', 'use', 'unless', 'saying', 'brand']"
they're not brand new.....but you can still use it. ,"['brand', 'still', 'use']"
"How so? For some of those games, gfwl is gone.

Others would just use steam or uplay to play but you already used the key right?","['games', 'gfwl', 'gone', 'others', 'would', 'use', 'steam', 'uplay', 'play', 'already', 'used', 'key', 'right']"
"i bought these games around 2008 so i doubt that will be an issue. if you're not able to play it then no worries bro, i'll just give you back what you paid and you can keep the game :)","['bought', 'games', 'around', '2008', 'doubt', 'issue', 'able', 'play', 'worries', 'bro', 'give', 'back', 'paid', 'keep', 'game']"
Fuwell or Pc Themes at sls.,"['fuwell', 'pc', 'themes', 'sls']"
Buy from amazon lah if you use the free prime trial,"['buy', 'amazon', 'lah', 'use', 'free', 'prime', 'trial']"
You could try www.sgpcmart.com as it provides free delivery with purchases above $200. Hope this helps. ,"['could', 'try', 'provides', 'free', 'delivery', 'purchases', '200', 'hope', 'helps']"
www.pckaki.com looks good,"['looks', 'good']"
I heard one called cybergame or something similar. Is that any good?,"['heard', 'one', 'called', 'cybergame', 'something', 'similar', 'good']"
"Never really heard of it. Unless you meant cybermind? 

If you're uninformed about buying and building fuwell is your best bet. 

If you know about all these things then id say tradepac cos they have lower prices but from what I've heard they like to sell you things you dont need or even the wrong items.","['never', 'really', 'heard', 'unless', 'meant', 'cybermind', 'uninformed', 'buying', 'building', 'fuwell', 'best', 'bet', 'know', 'things', 'id', 'say', 'tradepac', 'cos', 'lower', 'prices', 'heard', 'like', 'sell', 'things', 'dont', 'need', 'even', 'wrong', 'items']"
"Even though I'm going to be building my first pc, I know what to buy and what price to buy and I'm pretty sure that I wouldn't be falling for those kinds of tricks. And yes I meant cybermind, which one woukd you go if you were building your own ?","['even', 'though', 'going', 'building', 'first', 'pc', 'know', 'buy', 'price', 'buy', 'pretty', 'sure', 'would', 'falling', 'kinds', 'tricks', 'yes', 'meant', 'cybermind', 'one', 'woukd', 'go', 'building']"
"Personally, I'll be going to Pcthemes just because I've been going there since I built my first pc back in 2007.","['personally', 'going', 'pcthemes', 'going', 'since', 'built', 'first', 'pc', 'back', '2007']"
"you can try https://www.facebook.com/AcePrefix 
I am pretty sure they can give you good quotes 

Quoted from them

""Looking to build your customized gaming rig but wondering where to begin? Fret not! At APS Computers, we offer an non-obligated quotation before your purchase fulfillment!
We offer many different brands and models, subjected and not limited to availability from our local distributors!
From assembly, integration/installation and migration if required, we will provide the one stop solution you need for your purchase. No hassle, no worries!
Drop us a PM or email us! We will be glad to help!""

p.s: I don't work for them :)","['try', 'pretty', 'sure', 'give', 'good', 'quotes', 'quoted', 'looking', 'build', 'customized', 'gaming', 'rig', 'wondering', 'begin', 'fret', 'aps', 'computers', 'offer', 'quotation', 'purchase', 'fulfillment', 'offer', 'many', 'different', 'brands', 'models', 'subjected', 'limited', 'availability', 'local', 'distributors', 'assembly', 'migration', 'required', 'provide', 'one', 'stop', 'solution', 'need', 'purchase', 'hassle', 'worries', 'drop', 'us', 'pm', 'email', 'us', 'glad', 'help', 'work']"
"thanks, will look into it","['thanks', 'look']"
"This could be the start as they are very motivated and shortly the end because Singaporean players in general are limiting themselves. Its even said by LoL pro player Chawy that singaporean players tend to expect rewards without working hard for them

He also mentions that him, iceiceice and hyhy were working very hard despite having little to no salary but now times have changed. Singaporean players might be motivated right now but sooner or later, they need to work very hard otherwise the Singaporean pro scene will be non-existent.","['could', 'start', 'motivated', 'shortly', 'end', 'singaporean', 'players', 'general', 'limiting', 'even', 'said', 'lol', 'pro', 'player', 'chawy', 'singaporean', 'players', 'tend', 'expect', 'rewards', 'without', 'working', 'hard', 'also', 'mentions', 'iceiceice', 'hyhy', 'working', 'hard', 'despite', 'little', 'salary', 'times', 'changed', 'singaporean', 'players', 'might', 'motivated', 'right', 'sooner', 'later', 'need', 'work', 'hard', 'otherwise', 'singaporean', 'pro', 'scene']"
implying the game isn't overwatch for poor people,"['implying', 'game', 'overwatch', 'poor', 'people']"
"i believe it all boils down to preference.. I've tried all three and I honestly prefer HotS, it's easy to pick up and doesn't require last hitting or buying of items, xp gain is shared and the party levels as a whole. Some may see this as a watered down version of a moba but I see it as a totally different kind of game mode within the moba genre.

For example, LoL and DotA both revolve around the pushing of 3 lanes ultimately to the opponent's core. HotS? Each map has a different objective, be it capturing ""control points"" or collecting the objective.

Each game has their own respective merits and all are fun. However, like mentioned above, it all boils down to perference :)","['believe', 'boils', 'preference', 'tried', 'three', 'honestly', 'prefer', 'hots', 'easy', 'pick', 'require', 'last', 'hitting', 'buying', 'items', 'xp', 'gain', 'shared', 'party', 'levels', 'whole', 'may', 'see', 'watered', 'version', 'moba', 'see', 'totally', 'different', 'kind', 'game', 'mode', 'within', 'moba', 'genre', 'example', 'lol', 'dota', 'revolve', 'around', 'pushing', '3', 'lanes', 'ultimately', 'opponent', 'core', 'hots', 'map', 'different', 'objective', 'capturing', 'control', 'points', 'collecting', 'objective', 'game', 'respective', 'merits', 'fun', 'however', 'like', 'mentioned', 'boils', 'perference']"
I dont play MOBAs at all D: . I tried it but clicking all around the map aint my idea of fun. ,"['dont', 'play', 'mobas', 'tried', 'clicking', 'around', 'map', 'aint', 'idea', 'fun']"
"I've Tried DoTA and HOTS, but never went around to playing LOL.

It may be because I'm not cut out for that kind of gaming ( having to require so many APMs as well as near omniscience ). But another more plausible reason may be that the community is rather toxic; being already stressed up by other aspects of life, I think the last place I would want more stress in is my hobby (Like OW Competitive)

Though if I were to compare DoTA and HOTS, I think I prefer HOTS for its simplicity; but DoTA definitely has more depth in terms of meta building.","['tried', 'dota', 'hots', 'never', 'went', 'around', 'playing', 'lol', 'may', 'cut', 'kind', 'gaming', 'require', 'many', 'apms', 'well', 'near', 'omniscience', 'another', 'plausible', 'reason', 'may', 'community', 'rather', 'toxic', 'already', 'stressed', 'aspects', 'life', 'think', 'last', 'place', 'would', 'want', 'stress', 'hobby', 'like', 'ow', 'competitive', 'though', 'compare', 'dota', 'hots', 'think', 'prefer', 'hots', 'simplicity', 'dota', 'definitely', 'depth', 'terms', 'meta', 'building']"
Same. HOTS has the easiest learning curved followed by LOL and finally dota 2,"['hots', 'easiest', 'learning', 'curved', 'followed', 'lol', 'finally', 'dota', '2']"
Are you interested in selling for parts?,"['interested', 'selling', 'parts']"
You mean settling them off individually?,"['mean', 'settling', 'individually']"
"It really depends on how narrowly you want to limit yourself. Being a professional gamer is tough, and takes far more discipline than you might expect. Even then, opportunities may be a little slim, though you can definitely find more success if you don't limit yourself to geography.

Alternatively, there are many other career related to gaming. Casting, commentary, marketing for pro gamers, organizing e-sports events, game journalism.

On the side of game development, there's game design, sound engineering, game art, game programming, writing.

Might not be exactly what you are looking for, but i think it's worthwhile to think about the alternatives at least.","['really', 'depends', 'narrowly', 'want', 'limit', 'professional', 'gamer', 'tough', 'takes', 'far', 'discipline', 'might', 'expect', 'even', 'opportunities', 'may', 'little', 'slim', 'though', 'definitely', 'find', 'success', 'limit', 'geography', 'alternatively', 'many', 'career', 'related', 'gaming', 'casting', 'commentary', 'marketing', 'pro', 'gamers', 'organizing', 'events', 'game', 'journalism', 'side', 'game', 'development', 'game', 'design', 'sound', 'engineering', 'game', 'art', 'game', 'programming', 'writing', 'might', 'exactly', 'looking', 'think', 'worthwhile', 'think', 'alternatives', 'least']"
"IMO, No cos our country's gamer aren't as recognized like korea with their RTS games or china with DOTA (I'm not sure about this point). 

Maybe the whole of Singapore is internationally recognized to be good at a type of game, then there could be companies looking to sponsor gaming team, games etc.","['imo', 'cos', 'country', 'gamer', 'recognized', 'like', 'korea', 'rts', 'games', 'china', 'dota', 'sure', 'point', 'maybe', 'whole', 'singapore', 'internationally', 'recognized', 'good', 'type', 'game', 'could', 'companies', 'looking', 'sponsor', 'gaming', 'team', 'games', 'etc']"
Nope. The prime years of every Singaporean man/boy is being exploited by the government for cheap labour. So it's rather hard to train any Singaporean man/boy for a gaming career much like a soccer career.,"['nope', 'prime', 'years', 'every', 'singaporean', 'exploited', 'government', 'cheap', 'labour', 'rather', 'hard', 'train', 'singaporean', 'gaming', 'career', 'much', 'like', 'soccer', 'career']"
get 8k mmr + go fnatic,"['get', '8k', 'mmr', 'go', 'fnatic']"
"Esports as a cca should be ok as long as you all game moderately and not get addicted to it. I personally play cs:go but now i seldom play as I got bored.

In america theres even certain schools which offer a diploma or degree (in gaming aspects), that I think is a little too ridiculous in my opinion. 

It certainly has the chance to have a future if we youngsters can prove society that it does not lead to addiction, and serve as an entertainment and leisure purposes. 

I think you can try to include like physical activities inside your soon to be gaming cca. There would then be a higher chance your school might consider on it. 

Btw ah the ngee ann's computer club thing do they focus on esports too? I am entering this year as freshman haha I need expert knowledge.","['esports', 'cca', 'ok', 'long', 'game', 'moderately', 'get', 'addicted', 'personally', 'play', 'cs', 'go', 'seldom', 'play', 'got', 'bored', 'america', 'theres', 'even', 'certain', 'schools', 'offer', 'diploma', 'degree', 'gaming', 'aspects', 'think', 'little', 'ridiculous', 'opinion', 'certainly', 'chance', 'future', 'youngsters', 'prove', 'society', 'lead', 'addiction', 'serve', 'entertainment', 'leisure', 'purposes', 'think', 'try', 'include', 'like', 'physical', 'activities', 'inside', 'soon', 'gaming', 'cca', 'would', 'higher', 'chance', 'school', 'might', 'consider', 'btw', 'ah', 'ngee', 'ann', 'computer', 'club', 'thing', 'focus', 'esports', 'entering', 'year', 'freshman', 'haha', 'need', 'expert', 'knowledge']"
can consider buying refurbished and shipping it to singapore via 65daigou or vpost,"['consider', 'buying', 'refurbished', 'shipping', 'singapore', 'via', '65daigou', 'vpost']"
"I'm doing thaylt right now, comes up to about 310 SGD including shipping","['thaylt', 'right', 'comes', '310', 'sgd', 'including', 'shipping']"
$50 shipping fee? ouch ,"['50', 'shipping', 'fee', 'ouch']"
"well, i got no other choice :(","['well', 'got', 'choice']"
just use some vpost discount coupon or something. ,"['use', 'vpost', 'discount', 'coupon', 'something']"
Earn wards? You only need 75/100 gold to buy them :P,"['earn', 'wards', 'need', 'gold', 'buy', 'p']"
At Sim Lim you can collect pamphlets and compare prices across the shops. And just avoid the shops on the 1st and 2nd levels.,"['sim', 'lim', 'collect', 'pamphlets', 'compare', 'prices', 'across', 'shops', 'avoid', 'shops', '1st', '2nd', 'levels']"
